"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 2 - complejo - random walker.nlogo"
"complex_experiment_100"
"09/23/2024 10:38:20:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","809","15","18"
"1","810","15","18"
"1","811","15","18"
"1","812","15","18"
"1","813","15","18"
"1","814","15","18"
"1","815","15","18"
"1","816","15","18"
"1","817","15","18"
"1","818","15","18"
"1","819","15","18"
"1","820","14","18"
"1","821","14","18"
"1","822","14","18"
"1","823","14","18"
"1","824","15","18"
"1","825","15","18"
"1","826","15","17"
"1","827","15","17"
"1","828","14","18"
"1","829","15","18"
"1","830","15","17"
"1","831","14","18"
"1","832","15","18"
"1","833","15","17"
"1","834","15","17"
"1","835","15","17"
"1","836","15","17"
"1","837","15","17"
"1","838","15","17"
"1","839","15","17"
"1","840","15","18"
"1","841","15","18"
"1","842","15","18"
"1","843","15","18"
"1","844","15","17"
"1","845","15","17"
"1","846","15","18"
"1","847","15","17"
"1","848","15","17"
"1","849","15","17"
"1","850","14","17"
"1","851","15","17"
"1","852","14","17"
"1","853","15","17"
"1","854","15","17"
"1","855","14","17"
"1","856","14","17"
"1","857","14","17"
"1","858","14","17"
"1","859","14","17"
"1","860","14","17"
"1","861","14","17"
"1","862","14","16"
"1","863","14","17"
"1","864","14","16"
"1","865","14","16"
"1","866","14","16"
"1","867","14","16"
"1","868","14","16"
"1","869","14","16"
"1","870","14","16"
"1","871","13","17"
"1","872","14","17"
"1","873","14","17"
"1","874","14","17"
"1","875","14","17"
"1","876","14","17"
"1","877","14","17"
"1","878","14","17"
"1","879","14","17"
"1","880","14","17"
"1","881","14","17"
"1","882","14","17"
"1","883","14","17"
"1","884","14","17"
"1","885","14","17"
"1","886","14","17"
"1","887","14","17"
"1","888","14","17"
"1","889","14","17"
"1","890","14","17"
"1","891","14","17"
"1","892","14","17"
"1","893","14","17"
"1","894","14","17"
"1","895","14","17"
"1","896","14","17"
"1","897","14","17"
"1","898","14","17"
"1","899","14","17"
"1","900","14","17"
"1","901","13","17"
"1","902","13","17"
"1","903","13","17"
"1","904","13","17"
"1","905","13","17"
"1","906","13","17"
"1","907","13","17"
"1","908","13","17"
"1","909","13","17"
"1","910","13","17"
"1","911","13","17"
"1","912","13","16"
"1","913","13","16"
"1","914","13","16"
"1","915","13","16"
"1","916","12","16"
"1","917","12","17"
"1","918","12","16"
"1","919","12","16"
"1","920","12","16"
"1","921","12","16"
"1","922","12","16"
"1","923","12","16"
"1","924","12","16"
"1","925","12","16"
"1","926","12","16"
"1","927","11","17"
"1","928","11","17"
"1","929","12","17"
"1","930","12","17"
"1","931","12","17"
"1","932","12","17"
"1","933","12","17"
"1","934","11","17"
"1","935","11","17"
"1","936","12","17"
"1","937","12","17"
"1","938","12","17"
"1","939","11","16"
"1","940","11","16"
"1","941","11","16"
"1","942","11","16"
"1","943","11","16"
"1","944","11","16"
"1","945","12","16"
"1","946","12","16"
"1","947","12","16"
"1","948","12","16"
"1","949","11","16"
"1","950","12","16"
"1","951","11","16"
"1","952","11","16"
"1","953","11","16"
"1","954","11","16"
"1","955","11","16"
"1","956","11","16"
"1","957","11","15"
"1","958","11","16"
"1","959","11","16"
"1","960","11","16"
"1","961","11","16"
"1","962","11","16"
"1","963","11","16"
"1","964","11","16"
"1","965","11","16"
"1","966","11","16"
"1","967","11","16"
"1","968","12","16"
"1","969","11","16"
"1","970","11","16"
"1","971","11","16"
"1","972","11","16"
"1","973","12","16"
"1","974","12","16"
"1","975","12","16"
"1","976","11","17"
"1","977","11","16"
"1","978","11","16"
"1","979","11","17"
"1","980","11","17"
"1","981","11","17"
"1","982","11","17"
"1","983","11","17"
"1","984","11","17"
"1","985","11","17"
"1","986","11","17"
"1","987","11","17"
"1","988","11","17"
"1","989","11","17"
"1","990","11","17"
"1","991","11","17"
"1","992","11","17"
"1","993","11","17"
"1","994","11","17"
"1","995","11","17"
"1","996","11","17"
"1","997","11","17"
"1","998","11","17"
"1","999","10","17"
"1","1000","10","17"
"1","1001","10","17"
"1","1002","10","17"
"1","1003","10","18"
"1","1004","11","17"
"1","1005","11","18"
"1","1006","11","18"
"1","1007","11","18"
"1","1008","11","18"
"1","1009","11","18"
"1","1010","11","18"
"1","1011","11","18"
"1","1012","11","18"
"1","1013","11","18"
"1","1014","11","18"
"1","1015","10","18"
"1","1016","10","18"
"1","1017","10","18"
"1","1018","10","18"
"1","1019","10","18"
"1","1020","10","18"
"1","1021","11","18"
"1","1022","11","18"
"1","1023","11","17"
"1","1024","11","18"
"1","1025","11","17"
"1","1026","11","17"
"1","1027","11","17"
"1","1028","11","17"
"1","1029","11","17"
"1","1030","11","17"
"1","1031","11","18"
"1","1032","11","18"
"1","1033","11","18"
"1","1034","11","18"
"1","1035","10","18"
"1","1036","10","18"
"1","1037","10","18"
"1","1038","10","18"
"1","1039","10","18"
"1","1040","10","19"
"1","1041","10","19"
"1","1042","10","19"
"1","1043","10","18"
"1","1044","10","18"
"1","1045","10","18"
"1","1046","10","19"
"1","1047","10","18"
"1","1048","10","18"
"1","1049","10","18"
"1","1050","10","18"
"1","1051","10","18"
"1","1052","10","18"
"1","1053","10","18"
"1","1054","10","18"
